Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-8.593e-04,-0.8,-0.74
-8.574e-04,-0.84,-0.92
-8.555e-04,-0.84,-0.76
-8.536e-04,-0.86,-0.94
-8.517e-04,-0.86,-0.76
-8.497e-04,-0.84,-0.9
-8.478e-04,-0.78,-0.74
-8.459e-04,-0.8,-0.84
-8.440e-04,-0.74,-0.7
-8.421e-04,-0.8,-0.88
-8.401e-04,-0.76,-0.7
-8.382e-04,-0.84,-0.88
-8.363e-04,-0.74,-0.66
-8.344e-04,-0.74,-0.88
-8.325e-04,-0.82,-0.68
-8.305e-04,-0.8,-0.9
-8.286e-04,-0.86,-0.76
-8.267e-04,-0.82,-0.92
-8.248e-04,-0.86,-0.8
-8.229e-04,-0.84,-0.96
-8.209e-04,-0.92,-0.74
-8.190e-04,-0.72,-0.84
-8.171e-04,-0.76,-0.66
-8.152e-04,-0.68,-0.78
-8.133e-04,-0.7,-0.64
-8.113e-04,-0.74,-0.9
-8.094e-04,-0.76,-0.68
-8.075e-04,-0.84,-0.92
-8.056e-04,-0.84,-0.76
-8.037e-04,-0.82,-0.92
-8.017e-04,-0.76,-0.72
-7.998e-04,-0.88,-0.9
-7.979e-04,-0.78,-0.72
-7.960e-04,-0.82,-0.84
-7.941e-04,-0.72,-0.7
-7.921e-04,-0.78,-0.88
-7.902e-04,-0.78,-0.7
-7.883e-04,-0.82,-0.88
-7.864e-04,-0.82,-0.7
-7.845e-04,-0.76,-0.82
-7.825e-04,-0.76,-0.68
-7.806e-04,-0.76,-0.88
-7.787e-04,-0.82,-0.7
-7.768e-04,-0.78,-0.9
-7.749e-04,-0.82,-0.76
-7.729e-04,-0.82,-0.9
-7.710e-04,-0.78,-0.66
-7.691e-04,-0.68,-0.88
-7.672e-04,-0.82,-0.66
-7.653e-04,-0.82,-0.88
-7.633e-04,-0.84,-0.66
-7.614e-04,-0.72,-0.8
-7.595e-04,-0.76,-0.64
-7.576e-04,-0.76,-0.92
-7.557e-04,-0.82,-0.72
-7.537e-04,-0.92,-0.96
-7.518e-04,-0.9,-0.8
-7.499e-04,-0.88,-0.92
-7.480e-04,-0.82,-0.78
-7.461e-04,-0.9,-0.96
-7.441e-04,-0.86,-0.8
-7.422e-04,-0.9,-0.94
-7.403e-04,-0.84,-0.8
-7.384e-04,-0.88,-0.94
-7.365e-04,-0.86,-0.82
-7.345e-04,-0.88,-0.98
-7.326e-04,-0.92,-0.82
-7.307e-04,-0.88,-0.92
-7.288e-04,-0.88,-0.7
-7.269e-04,-0.72,-0.86
-7.249e-04,-0.78,-0.68
-7.230e-04,-0.78,-0.96
-7.211e-04,-0.94,-0.76
-7.192e-04,-0.84,-0.96
-7.173e-04,-0.84,-0.72
-7.153e-04,-0.74,-0.84
-7.134e-04,-0.74,-0.7
-7.115e-04,-0.78,-0.88
-7.096e-04,-0.82,-0.74
-7.076e-04,-0.82,-0.92
-7.057e-04,-0.82,-0.78
-7.038e-04,-0.92,-0.94
-7.019e-04,-0.82,-0.76
-7.000e-04,-0.84,-0.92
-6.980e-04,-0.82,-0.76
-6.961e-04,-0.84,-0.88
-6.942e-04,-0.78,-0.74
-6.923e-04,-0.84,-0.94
-6.904e-04,-0.84,-0.8
-6.884e-04,-0.88,-0.94
-6.865e-04,-0.86,-0.8
-6.846e-04,-0.84,-0.9
-6.827e-04,-0.8,-0.72
-6.808e-04,-0.74,-0.92
-6.788e-04,-0.84,-0.7
-6.769e-04,-0.82,-0.9
-6.750e-04,-0.82,-0.74
-6.731e-04,-0.78,-0.9
-6.712e-04,-0.88,-0.76
-6.692e-04,-0.82,-1.1
-6.673e-04,-0.96,-0.78
-6.654e-04,-1.02,-1.1
-6.635e-04,-1,-0.9
-6.616e-04,-0.94,-0.98
-6.596e-04,-0.86,-0.78
-6.577e-04,-0.82,-0.86
-6.558e-04,-0.74,-0.7
-6.539e-04,-0.82,-0.94
-6.520e-04,-0.82,-0.78
-6.500e-04,-0.9,-0.92
-6.481e-04,-0.74,-0.7
-6.462e-04,-0.82,-0.9
-6.443e-04,-0.8,-0.76
-6.424e-04,-0.86,-0.9
-6.404e-04,-0.78,-0.72
-6.385e-04,-0.82,-0.88
-6.366e-04,-0.8,-0.74
-6.347e-04,-0.82,-0.9
-6.328e-04,-0.82,-0.7
-6.308e-04,-0.7,-0.82
-6.289e-04,-0.76,-0.66
-6.270e-04,-0.74,-0.92
-6.251e-04,-0.8,-0.68
-6.232e-04,-0.8,-0.88
-6.212e-04,-0.84,-0.72
-6.193e-04,-0.72,-0.92
-6.174e-04,-0.84,-0.7
-6.155e-04,-0.86,-0.92
-6.136e-04,-0.8,-0.74
-6.116e-04,-0.82,-0.9
-6.097e-04,-0.84,-0.72
-6.078e-04,-0.8,-0.86
-6.059e-04,-0.76,-0.72
-6.040e-04,-0.8,-0.88
-6.020e-04,-0.76,-0.74
-6.001e-04,-0.84,-0.9
-5.982e-04,-0.8,-0.76
-5.963e-04,-0.88,-0.9
-5.944e-04,-0.76,-0.66
-5.924e-04,-0.76,-0.8
-5.905e-04,-0.72,-0.66
-5.886e-04,-0.76,-0.88
-5.867e-04,-0.8,-0.7
-5.848e-04,-0.8,-0.94
-5.828e-04,-0.8,-0.72
-5.809e-04,-0.88,-1
-5.790e-04,-0.9,-0.76
-5.771e-04,-0.78,-0.86
-5.752e-04,-0.78,-0.66
-5.732e-04,-0.66,-0.76
-5.713e-04,-0.68,-0.58
-5.694e-04,-0.62,-0.96
-5.675e-04,-0.84,-0.6
-5.656e-04,-0.88,-0.98
-5.636e-04,-0.92,-0.8
-5.617e-04,-0.84,-0.92
-5.598e-04,-0.84,-0.78
-5.579e-04,-0.88,-0.92
-5.560e-04,-0.82,-0.78
-5.540e-04,-0.92,-0.94
-5.521e-04,-0.84,-0.78
-5.502e-04,-0.9,-1.04
-5.483e-04,-0.92,-0.84
-5.464e-04,-0.98,-1
-5.444e-04,-0.86,-0.84
-5.425e-04,-0.86,-0.92
-5.406e-04,-0.74,-0.7
-5.387e-04,-0.78,-0.92
-5.368e-04,-0.82,-0.72
-5.348e-04,-0.86,-0.94
-5.329e-04,-0.86,-0.8
-5.310e-04,-0.8,-0.92
-5.291e-04,-0.88,-0.78
-5.272e-04,-0.84,-0.92
-5.252e-04,-0.88,-0.8
-5.233e-04,-0.82,-0.88
-5.214e-04,-0.78,-0.64
-5.195e-04,-0.7,-0.86
-5.176e-04,-0.78,-0.68
-5.156e-04,-0.82,-0.94
-5.137e-04,-0.9,-0.74
-5.118e-04,-0.8,-0.82
-5.099e-04,-0.68,-0.66
