Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-8.593e-04,-0.73,-0.63
-8.574e-04,-0.73,-0.85
-8.555e-04,-0.83,-0.69
-8.536e-04,-0.73,-0.83
-8.517e-04,-0.79,-0.69
-8.497e-04,-0.73,-0.79
-8.478e-04,-0.73,-0.63
-8.459e-04,-0.71,-0.75
-8.440e-04,-0.65,-0.51
-8.421e-04,-0.57,-0.69
-8.401e-04,-0.57,-0.47
-8.382e-04,-0.67,-0.75
-8.363e-04,-0.65,-0.57
-8.344e-04,-0.73,-0.79
-8.325e-04,-0.69,-0.65
-8.305e-04,-0.73,-0.79
-8.286e-04,-0.73,-0.67
-8.267e-04,-0.73,-0.79
-8.248e-04,-0.69,-0.65
-8.229e-04,-0.73,-0.79
-8.209e-04,-0.75,-0.67
-8.190e-04,-0.69,-0.75
-8.171e-04,-0.69,-0.63
-8.152e-04,-0.69,-0.77
-8.133e-04,-0.71,-0.61
-8.113e-04,-0.63,-0.73
-8.094e-04,-0.71,-0.59
-8.075e-04,-0.61,-0.83
-8.056e-04,-0.75,-0.59
-8.037e-04,-0.75,-0.87
-8.017e-04,-0.79,-0.71
-7.998e-04,-0.75,-0.81
-7.979e-04,-0.63,-0.49
-7.960e-04,-0.55,-0.65
-7.941e-04,-0.53,-0.43
-7.921e-04,-0.51,-0.61
-7.902e-04,-0.51,-0.45
-7.883e-04,-0.55,-0.59
-7.864e-04,-0.49,-0.41
-7.845e-04,-0.49,-0.65
-7.825e-04,-0.45,-0.37
-7.806e-04,-0.65,-0.67
-7.787e-04,-0.57,-0.49
-7.768e-04,-0.61,-0.73
-7.749e-04,-0.65,-0.53
-7.729e-04,-0.69,-0.75
-7.710e-04,-0.67,-0.59
-7.691e-04,-0.69,-0.79
-7.672e-04,-0.75,-0.65
-7.653e-04,-0.69,-0.77
-7.633e-04,-0.71,-0.57
-7.614e-04,-0.55,-0.61
-7.595e-04,-0.57,-0.47
-7.576e-04,-0.51,-0.67
-7.557e-04,-0.59,-0.47
-7.537e-04,-0.61,-0.71
-7.518e-04,-0.69,-0.57
-7.499e-04,-0.65,-0.77
-7.480e-04,-0.69,-0.59
-7.461e-04,-0.65,-0.77
-7.441e-04,-0.65,-0.59
-7.422e-04,-0.73,-0.79
-7.403e-04,-0.67,-0.61
-7.384e-04,-0.77,-0.79
-7.365e-04,-0.67,-0.63
-7.345e-04,-0.73,-0.79
-7.326e-04,-0.69,-0.65
-7.307e-04,-0.73,-0.77
-7.288e-04,-0.61,-0.53
-7.269e-04,-0.59,-0.65
-7.249e-04,-0.61,-0.53
-7.230e-04,-0.59,-0.79
-7.211e-04,-0.71,-0.55
-7.192e-04,-0.69,-0.89
-7.173e-04,-0.79,-0.67
-7.153e-04,-0.81,-0.91
-7.134e-04,-0.87,-0.73
-7.115e-04,-0.75,-0.79
-7.096e-04,-0.69,-0.59
-7.076e-04,-0.65,-0.73
-7.057e-04,-0.67,-0.49
-7.038e-04,-0.53,-0.67
-7.019e-04,-0.57,-0.49
-7.000e-04,-0.61,-0.75
-6.980e-04,-0.69,-0.59
-6.961e-04,-0.69,-0.83
-6.942e-04,-0.69,-0.61
-6.923e-04,-0.83,-0.89
-6.904e-04,-0.77,-0.73
-6.884e-04,-0.81,-0.83
-6.865e-04,-0.65,-0.63
-6.846e-04,-0.79,-0.81
-6.827e-04,-0.73,-0.67
-6.808e-04,-0.77,-0.81
-6.788e-04,-0.73,-0.67
-6.769e-04,-0.75,-0.79
-6.750e-04,-0.73,-0.67
-6.731e-04,-0.67,-0.77
-6.712e-04,-0.73,-0.61
-6.692e-04,-0.65,-0.79
-6.673e-04,-0.69,-0.61
-6.654e-04,-0.71,-0.85
-6.635e-04,-0.85,-0.63
-6.616e-04,-0.63,-0.71
-6.596e-04,-0.63,-0.55
-6.577e-04,-0.57,-0.63
-6.558e-04,-0.57,-0.51
-6.539e-04,-0.55,-0.81
-6.520e-04,-0.71,-0.51
-6.500e-04,-0.75,-0.79
-6.481e-04,-0.69,-0.59
-6.462e-04,-0.63,-0.77
-6.443e-04,-0.67,-0.55
-6.424e-04,-0.77,-0.85
-6.404e-04,-0.77,-0.69
-6.385e-04,-0.81,-0.83
-6.366e-04,-0.73,-0.59
-6.347e-04,-0.65,-0.71
-6.328e-04,-0.63,-0.55
-6.308e-04,-0.59,-0.75
-6.289e-04,-0.65,-0.53
-6.270e-04,-0.69,-0.87
-6.251e-04,-0.79,-0.67
-6.232e-04,-0.79,-0.87
-6.212e-04,-0.83,-0.71
-6.193e-04,-0.73,-0.83
-6.174e-04,-0.81,-0.71
-6.155e-04,-0.71,-0.79
-6.136e-04,-0.63,-0.57
-6.116e-04,-0.65,-0.77
-6.097e-04,-0.73,-0.63
-6.078e-04,-0.67,-0.83
-6.059e-04,-0.79,-0.65
-6.040e-04,-0.77,-0.83
-6.020e-04,-0.75,-0.69
-6.001e-04,-0.77,-0.81
-5.982e-04,-0.73,-0.61
-5.963e-04,-0.71,-0.73
-5.944e-04,-0.65,-0.59
-5.924e-04,-0.67,-0.73
-5.905e-04,-0.67,-0.59
-5.886e-04,-0.73,-0.75
-5.867e-04,-0.63,-0.59
-5.848e-04,-0.73,-0.81
-5.828e-04,-0.73,-0.61
-5.809e-04,-0.71,-0.73
-5.790e-04,-0.67,-0.59
-5.771e-04,-0.63,-0.75
-5.752e-04,-0.69,-0.59
-5.732e-04,-0.65,-0.79
-5.713e-04,-0.69,-0.61
-5.694e-04,-0.73,-0.85
-5.675e-04,-0.83,-0.65
-5.656e-04,-0.67,-0.79
-5.636e-04,-0.73,-0.61
-5.617e-04,-0.69,-0.83
-5.598e-04,-0.81,-0.67
-5.579e-04,-0.71,-0.81
-5.560e-04,-0.69,-0.65
-5.540e-04,-0.73,-0.79
-5.521e-04,-0.65,-0.57
-5.502e-04,-0.65,-0.75
-5.483e-04,-0.63,-0.59
-5.464e-04,-0.73,-0.75
-5.444e-04,-0.61,-0.59
-5.425e-04,-0.71,-0.79
-5.406e-04,-0.71,-0.61
-5.387e-04,-0.77,-0.81
-5.368e-04,-0.65,-0.55
-5.348e-04,-0.63,-0.77
-5.329e-04,-0.67,-0.57
-5.310e-04,-0.73,-0.79
-5.291e-04,-0.67,-0.61
-5.272e-04,-0.69,-0.79
-5.252e-04,-0.71,-0.63
-5.233e-04,-0.71,-0.79
-5.214e-04,-0.69,-0.55
-5.195e-04,-0.57,-0.71
-5.176e-04,-0.67,-0.55
-5.156e-04,-0.59,-0.79
-5.137e-04,-0.65,-0.57
-5.118e-04,-0.73,-0.81
-5.099e-04,-0.73,-0.63
-5.080e-04,-0.75,-0.89
-5.060e-04,-0.81,-0.69
-5.041e-04,-0.73,-0.79
-5.022e-04,-0.71,-0.63
-5.003e-04,-0.73,-0.77
-4.984e-04,-0.65,-0.51
-4.964e-04,-0.57,-0.71
-4.945e-04,-0.55,-0.49
-4.926e-04,-0.73,-0.79
-4.907e-04,-0.63,-0.63
-4.888e-04,-0.77,-0.83
-4.868e-04,-0.71,-0.63
-4.849e-04,-0.69,-0.73
-4.830e-04,-0.57,-0.53
-4.811e-04,-0.61,-0.67
-4.792e-04,-0.59,-0.53
-4.772e-04,-0.59,-0.67
-4.753e-04,-0.61,-0.51
-4.734e-04,-0.55,-0.69
-4.715e-04,-0.65,-0.51
-4.696e-04,-0.61,-0.75
-4.676e-04,-0.75,-0.59
-4.657e-04,-0.67,-0.79
-4.638e-04,-0.75,-0.63
-4.619e-04,-0.71,-0.81
-4.600e-04,-0.71,-0.61
-4.580e-04,-0.67,-0.75
-4.561e-04,-0.67,-0.53
-4.542e-04,-0.61,-0.73
-4.523e-04,-0.65,-0.55
-4.504e-04,-0.69,-0.73
-4.484e-04,-0.55,-0.51
-4.465e-04,-0.63,-0.71
-4.446e-04,-0.57,-0.53
-4.427e-04,-0.67,-0.69
-4.408e-04,-0.57,-0.49
-4.388e-04,-0.57,-0.73
-4.369e-04,-0.57,-0.47
-4.350e-04,-0.71,-0.81
-4.331e-04,-0.73,-0.61
-4.312e-04,-0.75,-0.83
-4.292e-04,-0.73,-0.67
