Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.180e-03,-0.66,-0.86
-1.178e-03,-0.8,-0.62
-1.176e-03,-0.76,-0.84
-1.174e-03,-0.76,-0.64
-1.172e-03,-0.66,-0.76
-1.170e-03,-0.64,-0.54
-1.168e-03,-0.64,-0.84
-1.167e-03,-0.74,-0.6
-1.165e-03,-0.76,-0.86
-1.163e-03,-0.76,-0.68
-1.161e-03,-0.78,-0.84
-1.159e-03,-0.78,-0.7
-1.157e-03,-0.76,-0.8
-1.155e-03,-0.66,-0.62
-1.153e-03,-0.7,-0.74
-1.151e-03,-0.58,-0.56
-1.149e-03,-0.68,-0.72
-1.147e-03,-0.64,-0.58
-1.145e-03,-0.68,-0.78
-1.144e-03,-0.62,-0.58
-1.142e-03,-0.64,-0.76
-1.140e-03,-0.58,-0.52
-1.138e-03,-0.7,-0.78
-1.136e-03,-0.62,-0.56
-1.134e-03,-0.72,-0.86
-1.132e-03,-0.84,-0.68
-1.130e-03,-0.66,-0.76
-1.128e-03,-0.64,-0.5
-1.126e-03,-0.56,-0.76
-1.124e-03,-0.7,-0.54
-1.122e-03,-0.7,-0.86
-1.120e-03,-0.84,-0.66
-1.119e-03,-0.78,-0.86
-1.117e-03,-0.8,-0.68
-1.115e-03,-0.74,-0.86
-1.113e-03,-0.82,-0.68
-1.111e-03,-0.8,-0.9
-1.109e-03,-0.82,-0.74
-1.107e-03,-0.88,-0.9
-1.105e-03,-0.8,-0.74
-1.103e-03,-0.8,-0.84
-1.101e-03,-0.62,-0.6
-1.099e-03,-0.68,-0.74
-1.097e-03,-0.62,-0.58
-1.096e-03,-0.74,-0.8
-1.094e-03,-0.72,-0.64
-1.092e-03,-0.74,-0.76
-1.090e-03,-0.58,-0.54
-1.088e-03,-0.62,-0.78
-1.086e-03,-0.62,-0.56
-1.084e-03,-0.74,-0.86
-1.082e-03,-0.78,-0.66
-1.080e-03,-0.78,-0.84
-1.078e-03,-0.8,-0.72
-1.076e-03,-0.72,-0.82
-1.074e-03,-0.74,-0.64
-1.072e-03,-0.64,-0.74
-1.071e-03,-0.68,-0.58
-1.069e-03,-0.62,-0.72
-1.067e-03,-0.66,-0.58
-1.065e-03,-0.68,-0.74
-1.063e-03,-0.68,-0.6
-1.061e-03,-0.68,-0.76
-1.059e-03,-0.68,-0.62
-1.057e-03,-0.74,-0.78
-1.055e-03,-0.66,-0.58
-1.053e-03,-0.7,-0.74
-1.051e-03,-0.58,-0.54
-1.049e-03,-0.68,-0.76
-1.048e-03,-0.68,-0.62
-1.046e-03,-0.68,-0.74
-1.044e-03,-0.66,-0.62
-1.042e-03,-0.66,-0.78
-1.040e-03,-0.66,-0.6
-1.038e-03,-0.72,-0.8
-1.036e-03,-0.72,-0.64
-1.034e-03,-0.66,-0.82
-1.032e-03,-0.78,-0.64
-1.030e-03,-0.7,-0.82
-1.028e-03,-0.74,-0.68
-1.026e-03,-0.7,-0.76
-1.024e-03,-0.7,-0.6
-1.023e-03,-0.62,-0.72
-1.021e-03,-0.62,-0.54
-1.019e-03,-0.66,-0.8
-1.017e-03,-0.76,-0.62
-1.015e-03,-0.72,-0.86
-1.013e-03,-0.8,-0.68
-1.011e-03,-0.78,-0.82
-1.009e-03,-0.72,-0.64
-1.007e-03,-0.72,-0.74
-1.005e-03,-0.64,-0.56
-1.003e-03,-0.62,-0.68
-1.001e-03,-0.5,-0.48
-9.995e-04,-0.66,-0.7
-9.976e-04,-0.58,-0.54
-9.957e-04,-0.64,-0.76
-9.937e-04,-0.66,-0.58
-9.918e-04,-0.72,-0.78
-9.899e-04,-0.66,-0.6
-9.880e-04,-0.66,-0.74
-9.861e-04,-0.66,-0.58
-9.841e-04,-0.68,-0.76
-9.822e-04,-0.68,-0.62
-9.803e-04,-0.62,-0.74
-9.784e-04,-0.72,-0.6
-9.765e-04,-0.68,-0.9
-9.745e-04,-0.86,-0.64
-9.726e-04,-0.76,-0.86
-9.707e-04,-0.76,-0.7
-9.688e-04,-0.74,-0.86
-9.669e-04,-0.78,-0.7
-9.649e-04,-0.8,-0.86
-9.630e-04,-0.74,-0.58
-9.611e-04,-0.66,-0.8
-9.592e-04,-0.62,-0.58
-9.573e-04,-0.8,-0.84
-9.553e-04,-0.72,-0.68
-9.534e-04,-0.8,-0.88
-9.515e-04,-0.72,-0.7
-9.496e-04,-0.8,-0.86
-9.477e-04,-0.74,-0.72
-9.457e-04,-0.8,-0.82
-9.438e-04,-0.72,-0.64
-9.419e-04,-0.7,-0.74
-9.400e-04,-0.66,-0.58
-9.381e-04,-0.6,-0.76
-9.361e-04,-0.66,-0.56
-9.342e-04,-0.66,-0.8
-9.323e-04,-0.74,-0.64
-9.304e-04,-0.68,-0.76
-9.285e-04,-0.7,-0.62
-9.265e-04,-0.66,-0.82
-9.246e-04,-0.78,-0.62
-9.227e-04,-0.74,-0.84
-9.208e-04,-0.78,-0.7
-9.189e-04,-0.74,-0.86
-9.169e-04,-0.82,-0.6
-9.150e-04,-0.66,-0.72
-9.131e-04,-0.64,-0.58
-9.112e-04,-0.66,-0.7
-9.093e-04,-0.58,-0.56
-9.073e-04,-0.68,-0.72
-9.054e-04,-0.62,-0.58
-9.035e-04,-0.68,-0.82
-9.016e-04,-0.72,-0.6
-8.997e-04,-0.8,-0.94
-8.977e-04,-0.86,-0.72
-8.958e-04,-0.88,-0.92
-8.939e-04,-0.82,-0.74
-8.920e-04,-0.78,-0.84
-8.901e-04,-0.68,-0.52
-8.881e-04,-0.62,-0.74
-8.862e-04,-0.66,-0.58
-8.843e-04,-0.64,-0.74
-8.824e-04,-0.62,-0.54
-8.805e-04,-0.62,-0.86
-8.785e-04,-0.7,-0.58
-8.766e-04,-0.76,-0.88
-8.747e-04,-0.84,-0.74
-8.728e-04,-0.74,-0.82
-8.709e-04,-0.74,-0.66
-8.689e-04,-0.7,-0.76
-8.670e-04,-0.68,-0.64
-8.651e-04,-0.72,-0.8
-8.632e-04,-0.68,-0.62
-8.613e-04,-0.7,-0.84
-8.593e-04,-0.74,-0.64
-8.574e-04,-0.74,-0.82
-8.555e-04,-0.74,-0.64
-8.536e-04,-0.78,-0.8
-8.517e-04,-0.66,-0.62
-8.497e-04,-0.78,-0.86
-8.478e-04,-0.76,-0.68
-8.459e-04,-0.76,-0.8
-8.440e-04,-0.72,-0.66
-8.421e-04,-0.72,-0.76
-8.401e-04,-0.66,-0.6
-8.382e-04,-0.62,-0.76
-8.363e-04,-0.72,-0.58
-8.344e-04,-0.64,-0.76
-8.325e-04,-0.7,-0.6
-8.305e-04,-0.64,-0.78
-8.286e-04,-0.74,-0.6
-8.267e-04,-0.64,-0.82
-8.248e-04,-0.76,-0.6
-8.229e-04,-0.74,-0.82
-8.209e-04,-0.76,-0.68
