Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.4336e-01,-1.12,-1.28
-1.4297e-01,-0.94,-0.76
-1.4259e-01,-1.06,-1.24
-1.4220e-01,-1.12,-0.8
-1.4182e-01,-1.04,-1.22
-1.4144e-01,-1.06,-0.76
-1.4105e-01,-1.04,-1.22
-1.4067e-01,-1.02,-0.74
-1.4028e-01,-1,-1.24
-1.3990e-01,-1.1,-0.68
-1.3952e-01,-0.94,-1.26
-1.3913e-01,-0.96,-0.72
-1.3875e-01,-1.02,-1.22
-1.3836e-01,-1.02,-0.72
-1.3798e-01,-0.96,-1.22
-1.3760e-01,-1.1,-0.72
-1.3721e-01,-1.02,-1.26
-1.3683e-01,-1.14,-0.76
-1.3644e-01,-0.92,-1.28
-1.3606e-01,-0.92,-0.78
-1.3568e-01,-1,-1.28
-1.3529e-01,-0.98,-0.8
-1.3491e-01,-1.08,-1.3
-1.3452e-01,-1.02,-0.78
-1.3414e-01,-1.02,-1.24
-1.3376e-01,-1.02,-0.78
-1.3337e-01,-1.14,-1.32
-1.3299e-01,-1.06,-0.72
-1.3260e-01,-0.94,-1.28
-1.3222e-01,-1.02,-0.74
-1.3184e-01,-0.96,-1.28
-1.3145e-01,-1.14,-0.76
-1.3107e-01,-0.96,-1.24
-1.3068e-01,-1,-0.72
-1.3030e-01,-0.92,-1.28
-1.2992e-01,-0.98,-0.76
-1.2953e-01,-1.12,-1.22
-1.2915e-01,-0.92,-0.7
-1.2876e-01,-1.1,-1.22
-1.2838e-01,-1.02,-0.76
-1.2800e-01,-1.02,-1.22
-1.2761e-01,-1.08,-0.74
-1.2723e-01,-1.02,-1.24
-1.2684e-01,-0.96,-0.74
-1.2646e-01,-0.92,-1.26
-1.2607e-01,-1.12,-0.74
-1.2569e-01,-0.96,-1.28
-1.2531e-01,-1.14,-0.74
-1.2492e-01,-0.9,-1.3
-1.2454e-01,-1,-0.74
-1.2415e-01,-0.96,-1.26
-1.2377e-01,-0.96,-0.7
-1.2339e-01,-0.98,-1.26
-1.2300e-01,-1.08,-0.72
