Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.01,
Sample Interval,3.2e-05,
Filter Frequency,7e+07,
Record Length,3124,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.844e-02,-0.88,-1.06
-1.841e-02,-0.9,-0.66
-1.838e-02,-0.98,-1.06
-1.834e-02,-0.8,-0.66
-1.831e-02,-0.92,-1.04
-1.828e-02,-0.94,-0.62
-1.825e-02,-0.94,-1
-1.822e-02,-0.82,-0.68
-1.818e-02,-0.92,-1.06
-1.815e-02,-0.9,-0.66
-1.812e-02,-0.92,-1.04
-1.809e-02,-0.92,-0.62
-1.806e-02,-0.8,-1.04
-1.802e-02,-0.74,-0.68
-1.799e-02,-0.82,-1
-1.796e-02,-0.7,-0.64
-1.793e-02,-0.92,-1
-1.790e-02,-0.82,-0.7
-1.786e-02,-0.78,-1
-1.783e-02,-0.8,-0.7
-1.780e-02,-0.76,-1.06
-1.777e-02,-0.82,-0.68
-1.774e-02,-0.84,-1.04
-1.770e-02,-0.94,-0.64
-1.767e-02,-0.94,-1.04
-1.764e-02,-0.76,-0.62
-1.761e-02,-0.78,-1.08
-1.758e-02,-0.82,-0.74
-1.754e-02,-0.82,-1.02
-1.751e-02,-0.9,-0.64
-1.748e-02,-0.86,-1.1
-1.745e-02,-0.78,-0.66
-1.742e-02,-0.9,-1.08
-1.738e-02,-0.88,-0.7
-1.735e-02,-0.86,-1.1
-1.732e-02,-0.9,-0.76
-1.729e-02,-0.94,-1.08
-1.726e-02,-0.72,-0.7
-1.722e-02,-0.76,-1.06
-1.719e-02,-0.76,-0.66
-1.716e-02,-0.76,-1.02
-1.713e-02,-0.9,-0.66
-1.710e-02,-0.84,-1
-1.706e-02,-0.78,-0.66
-1.703e-02,-0.84,-1
-1.700e-02,-0.76,-0.7
-1.697e-02,-0.82,-0.96
-1.694e-02,-0.84,-0.7
-1.690e-02,-0.74,-1.1
-1.687e-02,-0.88,-0.64
-1.684e-02,-0.88,-1.04
-1.681e-02,-0.8,-0.66
-1.678e-02,-0.86,-1.06
-1.674e-02,-0.98,-0.66
-1.671e-02,-0.8,-1.02
-1.668e-02,-0.86,-0.68
-1.665e-02,-0.86,-1
-1.662e-02,-0.94,-0.68
-1.658e-02,-0.86,-1.06
-1.655e-02,-0.88,-0.68
-1.652e-02,-0.9,-1.04
-1.649e-02,-0.82,-0.64
-1.646e-02,-0.98,-1.08
-1.642e-02,-0.82,-0.66
-1.639e-02,-0.94,-1.04
-1.636e-02,-0.84,-0.72
-1.633e-02,-0.88,-0.98
-1.630e-02,-0.92,-0.68
-1.626e-02,-0.9,-1
-1.623e-02,-0.92,-0.7
-1.620e-02,-0.92,-1.06
-1.617e-02,-0.84,-0.68
-1.614e-02,-1.04,-1.12
-1.610e-02,-0.9,-0.62
-1.607e-02,-0.74,-0.98
-1.604e-02,-0.84,-0.68
-1.601e-02,-0.8,-1.02
-1.598e-02,-0.92,-0.72
-1.594e-02,-0.88,-1.02
-1.591e-02,-0.86,-0.7
-1.588e-02,-0.76,-0.98
-1.585e-02,-0.84,-0.66
-1.582e-02,-0.8,-1
-1.578e-02,-0.78,-0.62
-1.575e-02,-0.88,-1.02
-1.572e-02,-0.86,-0.72
-1.569e-02,-0.8,-1.04
-1.566e-02,-0.78,-0.62
-1.562e-02,-0.9,-1.04
-1.559e-02,-0.86,-0.72
-1.556e-02,-0.88,-1.02
-1.553e-02,-0.72,-0.66
-1.550e-02,-0.78,-0.98
-1.546e-02,-0.88,-0.68
-1.543e-02,-0.84,-1.02
-1.540e-02,-0.88,-0.72
-1.537e-02,-0.72,-0.96
-1.534e-02,-0.86,-0.64
-1.530e-02,-0.8,-1.04
-1.527e-02,-0.84,-0.66
-1.524e-02,-0.98,-1.06
-1.521e-02,-0.72,-0.62
-1.518e-02,-0.8,-0.98
-1.514e-02,-0.9,-0.56
-1.511e-02,-0.82,-1.08
-1.508e-02,-0.8,-0.68
-1.505e-02,-0.8,-1.04
-1.502e-02,-0.96,-0.62
-1.498e-02,-0.84,-1
-1.495e-02,-0.82,-0.66
-1.492e-02,-0.74,-0.98
-1.489e-02,-0.9,-0.64
-1.486e-02,-0.92,-1.1
-1.482e-02,-0.84,-0.68
-1.479e-02,-0.9,-1.06
-1.476e-02,-0.9,-0.62
-1.473e-02,-0.8,-0.98
-1.470e-02,-0.94,-0.66
-1.466e-02,-0.94,-1.02
-1.463e-02,-0.9,-0.66
-1.460e-02,-0.78,-1.06
-1.457e-02,-0.94,-0.66
-1.454e-02,-0.92,-1.06
-1.450e-02,-0.88,-0.66
-1.447e-02,-0.8,-1.04
-1.444e-02,-0.94,-0.68
-1.441e-02,-0.96,-1.02
-1.438e-02,-0.88,-0.54
-1.434e-02,-0.78,-1.04
-1.431e-02,-0.88,-0.66
-1.428e-02,-0.72,-1.02
-1.425e-02,-0.9,-0.64
-1.422e-02,-0.8,-1
-1.418e-02,-0.88,-0.68
-1.415e-02,-0.78,-1.02
-1.412e-02,-0.82,-0.68
-1.409e-02,-0.84,-1
-1.406e-02,-0.84,-0.66
-1.402e-02,-0.8,-1
-1.399e-02,-0.76,-0.62
-1.396e-02,-0.7,-1.04
-1.393e-02,-0.94,-0.66
-1.390e-02,-0.76,-1.02
-1.386e-02,-0.84,-0.66
-1.383e-02,-0.82,-1.04
-1.380e-02,-0.86,-0.64
-1.377e-02,-0.82,-1.04
-1.374e-02,-0.78,-0.68
-1.370e-02,-0.78,-1
-1.367e-02,-0.84,-0.66
-1.364e-02,-0.8,-1.12
-1.361e-02,-0.8,-0.74
-1.358e-02,-0.78,-1
-1.354e-02,-0.8,-0.62
-1.351e-02,-0.9,-1
-1.348e-02,-0.78,-0.64
-1.345e-02,-0.72,-0.96
-1.342e-02,-0.74,-0.62
-1.338e-02,-0.7,-1
-1.335e-02,-0.74,-0.66
-1.332e-02,-0.78,-1
-1.329e-02,-0.92,-0.68
-1.326e-02,-0.76,-1.08
-1.322e-02,-0.78,-0.68
-1.319e-02,-0.74,-1.02
-1.316e-02,-0.82,-0.62
-1.313e-02,-0.82,-1
-1.310e-02,-0.92,-0.56
-1.306e-02,-0.84,-1.06
-1.303e-02,-0.86,-0.66
-1.300e-02,-0.94,-1.02
-1.297e-02,-0.8,-0.66
-1.294e-02,-0.86,-1
-1.290e-02,-0.88,-0.6
-1.287e-02,-0.68,-1.08
-1.284e-02,-0.94,-0.62
-1.281e-02,-0.86,-1.02
-1.278e-02,-0.98,-0.72
-1.274e-02,-0.88,-1.02
-1.271e-02,-0.92,-0.66
-1.268e-02,-0.82,-1.02
-1.265e-02,-0.86,-0.72
-1.262e-02,-1,-1.06
-1.258e-02,-0.86,-0.7
-1.255e-02,-0.98,-1.02
-1.252e-02,-0.78,-0.68
-1.249e-02,-0.98,-1.08
-1.246e-02,-0.98,-0.64
-1.242e-02,-0.82,-1
-1.239e-02,-0.72,-0.58
-1.236e-02,-0.94,-1.02
-1.233e-02,-0.84,-0.68
-1.230e-02,-0.84,-1.02
-1.226e-02,-0.8,-0.66
-1.223e-02,-0.84,-1.08
-1.220e-02,-0.9,-0.72
-1.217e-02,-0.96,-1.04
-1.214e-02,-0.8,-0.66
-1.210e-02,-0.76,-1.04
-1.207e-02,-0.88,-0.7
-1.204e-02,-0.82,-1.08
-1.201e-02,-0.78,-0.68
-1.198e-02,-0.88,-1.06
-1.194e-02,-0.9,-0.7
-1.191e-02,-0.94,-1.06
-1.188e-02,-0.84,-0.72
-1.185e-02,-0.8,-1.02
-1.182e-02,-0.94,-0.68
-1.178e-02,-0.9,-1.04
-1.175e-02,-0.84,-0.62
-1.172e-02,-0.92,-1.02
-1.169e-02,-0.76,-0.72
-1.166e-02,-0.8,-1.02
-1.162e-02,-0.7,-0.68
-1.159e-02,-0.92,-1
-1.156e-02,-0.82,-0.62
-1.153e-02,-0.82,-1.04
-1.150e-02,-0.84,-0.74
-1.146e-02,-0.8,-1.02
-1.143e-02,-0.8,-0.66
-1.140e-02,-0.78,-1.1
-1.137e-02,-0.8,-0.68
-1.134e-02,-0.82,-1.06
-1.130e-02,-0.94,-0.72
-1.127e-02,-0.76,-1.04
-1.124e-02,-0.82,-0.66
-1.121e-02,-0.9,-1.04
-1.118e-02,-0.74,-0.68
-1.114e-02,-0.88,-0.96
-1.111e-02,-0.7,-0.6
-1.108e-02,-0.82,-1.04
-1.105e-02,-0.92,-0.66
-1.102e-02,-0.92,-1.16
-1.098e-02,-0.98,-0.68
-1.095e-02,-0.84,-1.04
-1.092e-02,-0.84,-0.6
-1.089e-02,-0.88,-1
-1.086e-02,-0.84,-0.68
-1.082e-02,-0.9,-1.04
-1.079e-02,-0.88,-0.68
-1.076e-02,-0.84,-1.1
-1.073e-02,-0.82,-0.68
-1.070e-02,-0.82,-1.06
-1.066e-02,-0.9,-0.72
-1.063e-02,-0.86,-1.08
-1.060e-02,-0.8,-0.62
-1.057e-02,-0.78,-1.08
-1.054e-02,-0.94,-0.62
-1.050e-02,-0.76,-1.06
-1.047e-02,-1,-0.68
-1.044e-02,-0.92,-0.96
-1.041e-02,-0.8,-0.68
-1.038e-02,-0.94,-1.04
-1.034e-02,-0.84,-0.7
-1.031e-02,-0.86,-1.04
-1.028e-02,-0.82,-0.72
-1.025e-02,-0.88,-1.02
-1.022e-02,-0.94,-0.66
-1.018e-02,-0.8,-0.98
-1.015e-02,-0.74,-0.58
-1.012e-02,-0.78,-1.02
-1.009e-02,-0.8,-0.6
-1.006e-02,-0.76,-1
-1.002e-02,-0.8,-0.7
-9.992e-03,-0.84,-1.04
-9.960e-03,-0.88,-0.7
-9.928e-03,-0.86,-1.04
-9.896e-03,-0.72,-0.68
-9.864e-03,-0.94,-1.08
-9.832e-03,-0.78,-0.68
-9.800e-03,-0.92,-1.04
-9.768e-03,-0.82,-0.68
-9.736e-03,-0.82,-1.06
-9.704e-03,-0.8,-0.62
-9.672e-03,-0.94,-1.04
-9.640e-03,-0.88,-0.7
-9.608e-03,-0.92,-1.06
-9.576e-03,-0.72,-0.66
-9.544e-03,-0.86,-1.12
-9.512e-03,-0.78,-0.76
-9.480e-03,-0.94,-1.12
-9.448e-03,-0.8,-0.68
-9.416e-03,-0.78,-1
-9.384e-03,-0.92,-0.64
-9.352e-03,-0.74,-1
