Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,3.84025e-05,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-2.0480e-02,-1.02,-1.12
-2.0442e-02,-0.94,-0.78
-2.0403e-02,-1,-1.18
-2.0365e-02,-0.96,-0.72
-2.0326e-02,-0.98,-1.14
-2.0288e-02,-1.04,-0.82
-2.0250e-02,-0.98,-1.16
-2.0211e-02,-1.06,-0.78
-2.0173e-02,-0.96,-1.24
-2.0134e-02,-0.9,-0.74
-2.0096e-02,-1,-1.2
-2.0058e-02,-0.96,-0.82
-2.0019e-02,-1.06,-1.16
-1.9981e-02,-1,-0.8
-1.9942e-02,-0.98,-1.18
-1.9904e-02,-1.02,-0.82
-1.9866e-02,-1,-1.16
-1.9827e-02,-1.02,-0.82
-1.9789e-02,-1.06,-1.18
-1.9750e-02,-0.96,-0.78
-1.9712e-02,-0.96,-1.14
-1.9674e-02,-0.94,-0.78
-1.9635e-02,-0.88,-1.22
-1.9597e-02,-1.02,-0.74
-1.9558e-02,-1.04,-1.12
-1.9520e-02,-0.98,-0.76
-1.9482e-02,-1.04,-1.26
-1.9443e-02,-0.98,-0.84
-1.9405e-02,-0.92,-1.22
-1.9366e-02,-1.1,-0.82
-1.9328e-02,-1.04,-1.2
-1.9290e-02,-0.96,-0.8
-1.9251e-02,-1.02,-1.2
-1.9213e-02,-0.92,-0.82
-1.9174e-02,-1.02,-1.14
-1.9136e-02,-0.9,-0.8
-1.9098e-02,-0.9,-1.12
-1.9059e-02,-0.9,-0.8
-1.9021e-02,-1.04,-1.16
-1.8982e-02,-0.96,-0.86
-1.8944e-02,-0.98,-1.14
-1.8905e-02,-0.8,-0.72
-1.8867e-02,-1.08,-1.24
-1.8829e-02,-1.06,-0.76
-1.8790e-02,-0.92,-1.14
-1.8752e-02,-0.96,-0.84
-1.8713e-02,-1.02,-1.16
-1.8675e-02,-0.82,-0.72
-1.8637e-02,-0.9,-1.18
-1.8598e-02,-0.96,-0.82
