Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.004,
Sample Interval,7.68049e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-6.1625e-03,-0.99,-1.07
-6.1548e-03,-1.01,-0.83
-6.1471e-03,-0.93,-1.13
-6.1394e-03,-1.03,-0.85
-6.1318e-03,-0.97,-1.13
-6.1241e-03,-0.93,-0.83
-6.1164e-03,-1.05,-1.17
-6.1087e-03,-1.15,-0.83
-6.1010e-03,-1.03,-1.13
-6.0934e-03,-0.99,-0.83
-6.0857e-03,-0.93,-1.11
-6.0780e-03,-0.99,-0.79
-6.0703e-03,-0.83,-1.03
-6.0626e-03,-0.97,-0.77
-6.0550e-03,-1.03,-1.07
-6.0473e-03,-0.97,-0.85
-6.0396e-03,-0.95,-1.13
-6.0319e-03,-0.95,-0.89
-6.0242e-03,-0.99,-1.07
-6.0166e-03,-0.99,-0.87
-6.0089e-03,-1.01,-1.09
-6.0012e-03,-1.03,-0.89
-5.9935e-03,-1.01,-1.11
-5.9858e-03,-1.01,-0.87
-5.9781e-03,-0.97,-1.05
-5.9705e-03,-0.89,-0.85
-5.9628e-03,-0.97,-1.15
-5.9551e-03,-1.13,-0.89
-5.9474e-03,-1.05,-1.09
-5.9397e-03,-0.89,-0.79
-5.9321e-03,-0.99,-1.07
-5.9244e-03,-0.97,-0.87
-5.9167e-03,-0.95,-1.07
-5.9090e-03,-0.89,-0.83
-5.9013e-03,-0.97,-1.01
-5.8937e-03,-0.89,-0.79
-5.8860e-03,-0.91,-1.05
-5.8783e-03,-0.87,-0.77
-5.8706e-03,-0.97,-1.07
-5.8629e-03,-1.01,-0.85
-5.8553e-03,-1.03,-1.17
-5.8476e-03,-1.13,-0.87
-5.8399e-03,-0.93,-1.07
-5.8322e-03,-0.91,-0.87
-5.8245e-03,-0.99,-1.09
-5.8169e-03,-1.03,-0.85
-5.8092e-03,-1.03,-1.17
-5.8015e-03,-0.99,-0.83
-5.7938e-03,-0.87,-1.15
-5.7861e-03,-0.93,-0.77
-5.7785e-03,-1.07,-1.17
-5.7708e-03,-0.97,-0.89
-5.7631e-03,-1.01,-1.07
-5.7554e-03,-0.97,-0.83
-5.7477e-03,-1.03,-1.09
-5.7401e-03,-0.89,-0.83
-5.7324e-03,-1.01,-1.13
-5.7247e-03,-0.93,-0.85
-5.7170e-03,-0.95,-1.05
-5.7093e-03,-1.03,-0.83
-5.7017e-03,-0.93,-1.01
-5.6940e-03,-0.79,-0.75
-5.6863e-03,-0.97,-1.09
-5.6786e-03,-0.93,-0.75
-5.6709e-03,-1.05,-1.09
-5.6632e-03,-0.93,-0.81
-5.6556e-03,-0.87,-1.09
-5.6479e-03,-0.95,-0.79
-5.6402e-03,-1.01,-1.19
-5.6325e-03,-1.03,-0.95
-5.6248e-03,-1.03,-1.21
-5.6172e-03,-1.11,-0.95
-5.6095e-03,-1.13,-1.23
-5.6018e-03,-1.03,-0.91
-5.5941e-03,-0.97,-1.09
-5.5864e-03,-0.79,-0.77
-5.5788e-03,-0.99,-1.07
-5.5711e-03,-0.95,-0.81
-5.5634e-03,-0.91,-1.13
-5.5557e-03,-0.97,-0.81
-5.5480e-03,-1.01,-1.15
-5.5404e-03,-0.95,-0.83
-5.5327e-03,-0.89,-1.03
-5.5250e-03,-0.99,-0.79
-5.5173e-03,-0.89,-1.03
-5.5096e-03,-0.97,-0.81
-5.5020e-03,-0.97,-1.13
-5.4943e-03,-0.77,-0.75
-5.4866e-03,-1.05,-1.19
-5.4789e-03,-1.01,-0.91
-5.4712e-03,-0.97,-1.09
-5.4636e-03,-0.97,-0.83
-5.4559e-03,-0.91,-1.11
-5.4482e-03,-0.99,-0.85
-5.4405e-03,-0.99,-1.07
-5.4328e-03,-0.93,-0.81
-5.4252e-03,-0.87,-1.07
-5.4175e-03,-0.95,-0.81
-5.4098e-03,-1.05,-1.09
-5.4021e-03,-1.03,-0.77
-5.3944e-03,-0.83,-1.03
-5.3868e-03,-0.85,-0.81
-5.3791e-03,-0.93,-1.05
-5.3714e-03,-0.91,-0.85
-5.3637e-03,-0.95,-0.99
-5.3560e-03,-0.89,-0.77
-5.3483e-03,-0.91,-1.17
-5.3407e-03,-1.03,-0.85
-5.3330e-03,-0.95,-1.13
-5.3253e-03,-1.03,-0.85
-5.3176e-03,-1.05,-1.09
-5.3099e-03,-0.95,-0.81
-5.3023e-03,-1.01,-1.09
-5.2946e-03,-0.97,-0.83
-5.2869e-03,-0.97,-1.15
-5.2792e-03,-0.97,-0.89
-5.2715e-03,-1.07,-1.09
-5.2639e-03,-0.87,-0.79
-5.2562e-03,-0.99,-1.13
-5.2485e-03,-1.03,-0.89
-5.2408e-03,-0.91,-1.03
-5.2331e-03,-0.89,-0.81
