Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-3.0774e-01,-0.84,-0.68
-3.0736e-01,-0.98,-1.18
-3.0697e-01,-0.86,-0.64
-3.0659e-01,-1,-1.24
-3.0620e-01,-0.96,-0.66
-3.0582e-01,-1,-1.16
-3.0544e-01,-0.8,-0.68
-3.0505e-01,-1.02,-1.18
-3.0467e-01,-0.86,-0.62
-3.0428e-01,-0.94,-1.22
-3.0390e-01,-1,-0.68
-3.0352e-01,-0.78,-1.2
-3.0313e-01,-0.86,-0.64
-3.0275e-01,-0.82,-1.18
-3.0236e-01,-0.92,-0.62
-3.0198e-01,-0.98,-1.16
-3.0160e-01,-1.02,-0.68
-3.0121e-01,-0.88,-1.22
-3.0083e-01,-0.86,-0.68
-3.0044e-01,-1.04,-1.16
-3.0006e-01,-0.9,-0.7
-2.9968e-01,-0.8,-1.18
-2.9929e-01,-0.92,-0.68
-2.9891e-01,-0.92,-1.12
-2.9852e-01,-0.92,-0.68
-2.9814e-01,-1.02,-1.2
-2.9776e-01,-0.92,-0.66
-2.9737e-01,-0.9,-1.16
-2.9699e-01,-1,-0.7
-2.9660e-01,-0.86,-1.16
-2.9622e-01,-0.82,-0.68
-2.9584e-01,-0.98,-1.24
-2.9545e-01,-0.94,-0.7
-2.9507e-01,-0.96,-1.16
-2.9468e-01,-0.98,-0.7
-2.9430e-01,-0.92,-1.16
-2.9392e-01,-0.94,-0.68
-2.9353e-01,-0.94,-1.2
-2.9315e-01,-0.92,-0.68
-2.9276e-01,-0.82,-1.2
-2.9238e-01,-0.92,-0.62
-2.9200e-01,-1,-1.14
-2.9161e-01,-1.02,-0.7
-2.9123e-01,-0.82,-1.14
-2.9084e-01,-0.88,-0.62
-2.9046e-01,-1.1,-1.14
-2.9007e-01,-0.8,-0.64
-2.8969e-01,-0.92,-1.18
-2.8931e-01,-0.82,-0.68
-2.8892e-01,-1,-1.18
-2.8854e-01,-0.96,-0.66
-2.8815e-01,-0.96,-1.18
-2.8777e-01,-0.8,-0.66
-2.8739e-01,-1,-1.14
-2.8700e-01,-0.86,-0.66
-2.8662e-01,-0.88,-1.14
-2.8623e-01,-0.88,-0.72
-2.8585e-01,-0.86,-1.16
-2.8547e-01,-0.9,-0.68
-2.8508e-01,-0.88,-1.18
-2.8470e-01,-0.78,-0.64
-2.8431e-01,-0.92,-1.14
-2.8393e-01,-1.02,-0.68
-2.8355e-01,-1,-1.14
-2.8316e-01,-0.76,-0.72
-2.8278e-01,-0.98,-1.18
-2.8239e-01,-0.9,-0.64
-2.8201e-01,-0.86,-1.18
-2.8163e-01,-1,-0.66
-2.8124e-01,-0.88,-1.14
-2.8086e-01,-1,-0.66
-2.8047e-01,-0.94,-1.14
-2.8009e-01,-1.06,-0.68
-2.7971e-01,-1.04,-1.14
-2.7932e-01,-0.92,-0.7
-2.7894e-01,-0.88,-1.18
-2.7855e-01,-0.86,-0.66
-2.7817e-01,-0.92,-1.16
-2.7779e-01,-0.98,-0.72
-2.7740e-01,-0.92,-1.22
-2.7702e-01,-0.92,-0.66
-2.7663e-01,-0.94,-1.18
-2.7625e-01,-0.8,-0.68
-2.7587e-01,-0.82,-1.2
-2.7548e-01,-0.86,-0.66
-2.7510e-01,-0.88,-1.16
-2.7471e-01,-0.92,-0.7
-2.7433e-01,-0.94,-1.14
-2.7395e-01,-1,-0.68
-2.7356e-01,-1,-1.2
-2.7318e-01,-0.92,-0.68
-2.7279e-01,-0.88,-1.18
-2.7241e-01,-0.92,-0.62
-2.7203e-01,-0.84,-1.22
-2.7164e-01,-0.96,-0.66
-2.7126e-01,-0.92,-1.16
-2.7087e-01,-0.82,-0.7
-2.7049e-01,-0.98,-1.18
